,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,red_type
100,ACT-CLJ0249.6+0210,0.00015859461733210158,0.9793882282439416,-0.16398419269688363,0.0038103947568968147,2982.406127203679,-0.0001208933659763178,1.0421479709983195,20.0
101,ACT-CLJ0250.1+0008,0.0001561918620963819,1.0095767637170439,-0.09958680333466984,0.006668190824569426,2968.2701351715305,0.04429144596351031,1.051823289866417,20.0
102,ACT-CLJ0253.5-0017,0.00015991028491192576,1.0205928687762267,-0.008251685910146467,0.0019051973784484073,2919.6881751212404,-0.03264969019377878,1.0691363685793849,20.0
103,ACT-CLJ0254.4-0538,0.00017665619949836485,1.0793559386912737,-0.22210982665270593,0.003810467353820946,3031.0634219733097,-0.04758127096937395,1.0233858820132604,20.0
104,ACT-CLJ0256.5+0006,0.00016626346701010438,0.9968657622154684,-0.07536412664111708,0.0038103947568968147,3057.5747518769745,0.08550219437443965,1.0164279765316062,20.0
105,ACT-CLJ0257.0-0300,0.0001497817437308787,0.9834436656901031,0.13995101247897943,0.0,3016.850615227415,0.004199730744359542,1.01780160213736,20.0
106,ACT-CLJ0258.4+0147,0.00016161001155390534,0.9862511124981808,0.07182480434383202,0.0,3136.4266397931547,0.002340429616494752,0.9930251568164602,20.0
107,ACT-CLJ0259.4-0524,0.00014755592196986656,0.9719468838952765,-0.07690333807776156,0.0,3015.496898080191,-0.07196741461424386,1.0293319731800195,20.0
108,ACT-CLJ0259.8-0037,0.00020977276819543966,1.0164548660808366,0.015360585344626752,0.0,3498.730435347743,0.014113825679991412,1.042637120682174,20.0
109,ACT-CLJ0300.2+0125,0.0002063354236620363,1.0403064580528434,-0.19200431996031347,0.0,3716.7171584072366,0.005222557288318033,0.9892285809734779,20.0
110,ACT-CLJ0301.5-0248,0.00021096156811674713,1.350450830292472,-0.3809930621440683,0.0,2684.438269476562,-0.01882771381579827,1.140077225523703,20.0
111,ACT-CLJ0839.5-0140,0.00014588911771362952,1.0797855928755367,-0.023799425442689093,0.059062806626465854,3005.6470586130495,0.07057203491767237,1.035257694778398,20.0
112,ACT-CLJ0839.5-0150,0.0001409364570951326,1.034469290661588,0.08151211080045638,0.0047643096038953,3085.4859953815185,-0.020255241640674677,1.0087352599504062,20.0
113,ACT-CLJ0842.3+0033,0.00013572317806007312,0.9655678600713321,0.004185117441176254,0.01524709828660733,3159.2117576574096,0.023082317352023953,0.9876825170026136,20.0
114,ACT-CLJ0842.9+0424,0.00013944316367255424,0.953906297655268,0.046137973779397184,0.0,3124.216349957373,0.04563686830085451,0.989101933019984,20.0
115,ACT-CLJ0844.6+0216,0.0001481581578496061,1.0101108874733677,0.004216235163357742,0.0019051973784484073,3150.257146296719,0.0244558855935186,0.9932047240131796,20.0
116,ACT-CLJ0845.0+0127,0.00014940634888030975,1.0626828787372191,0.11917807772979033,0.018099719930649495,3011.6354203729275,0.028305575551162945,1.0378792646559314,20.0
117,ACT-CLJ0845.4+0327,0.00014811314636913587,1.078659330556507,-0.00444236642308036,0.0,2977.5301477315697,0.07686369510882451,1.051961913372721,20.0
118,ACT-CLJ0848.4+0412,0.00014102011770154982,1.0364261614079064,-0.04907234243951452,0.0019051973784484073,3138.093132993101,0.013728812823144572,1.0068229971895712,20.0
119,ACT-CLJ0848.5-0122,0.0001509864964270088,1.1664775418504914,-0.11856145839683871,0.009525986892242036,2816.339027016584,-0.0012773934546493134,1.1125141025504208,20.0
120,ACT-CLJ0849.6-0051,0.00013591279908071132,0.9969793499098839,0.05850151507540719,0.011432055483575947,3087.910073322503,0.00837905257637809,1.0180715406835592,20.0
121,ACT-CLJ0849.8+0440,0.00015973607213759375,1.0329148853104717,-0.08843557400010159,0.0,3094.280078940627,0.061587735692989,0.9875727294527717,20.0
122,ACT-CLJ0852.2-0101,0.0001447197265885361,1.0030326411677009,-0.14243606736660044,0.005715592135345221,3088.8525051755346,-0.024958260619778478,0.9959107572097914,20.0
123,ACT-CLJ0853.4+0132,0.00014724223225785396,1.0870928486508342,0.08908466316556295,0.006668190824569426,2966.529555826727,0.05057161794584787,1.0526437882282118,20.0
124,ACT-CLJ0854.7-0122,0.00014002960830586454,1.0167998231331064,0.12894596842146352,0.0,3064.233877492547,0.011774393770213498,1.025423650067562,20.0
125,ACT-CLJ0855.4-0106,0.00015343191847034263,1.0763149028172438,-0.2975959837348294,0.0,3058.8320512863224,0.025390940893392958,1.037397145759424,20.0
126,ACT-CLJ0856.3+0146,0.0001475335522313394,1.0582220278304058,-0.046303575575406736,0.0,2965.505547201994,0.011817646821483226,1.0389213294336568,20.0
127,ACT-CLJ0856.4-0013,0.0001461563820168483,1.0726452143456762,-0.045609053098101475,0.02381496723060509,3018.561964557932,0.01338786877069005,1.038863943237412,20.0
128,ACT-CLJ0856.5+0143,0.00014424456840948313,1.0431471349334436,0.03901853575943114,0.0,2891.144520596593,-0.03449100230537162,1.0827137993952054,20.0
129,ACT-CLJ0857.8+0310,0.0001406830745402895,1.0206912650252513,-0.1097972049839246,0.004762993446121018,2990.913633205689,-0.011994214342531655,1.0569897608249743,20.0
130,ACT-CLJ0859.0-0119,0.000142003825374588,1.0249735532409827,0.008887041459048223,0.007620789513793629,3196.006090665823,-0.0043992011976487725,0.9812595881902901,20.0
131,ACT-CLJ0859.4+0308,0.00014729723422477598,1.089498427963675,-0.11894637964926562,0.0,2920.3718549495843,-0.004576606082373806,1.0728469428875944,20.0
132,ACT-CLJ0901.5+0301,0.00015057418448029386,1.0487674119727306,-0.015243580951624938,0.0,3014.231956140972,-0.00331772626173679,1.0455342249098412,20.0
133,ACT-CLJ0901.7+0408,0.00015732836510456844,1.0092671277134289,0.03592397370743923,0.0,3080.409591332104,-0.020640245587384278,1.0255103301911783,20.0
134,ACT-CLJ0903.4-0136,0.0001670284787620918,1.0077453011474726,-0.02511055049487346,0.007620789513793629,3062.8595373326534,0.03923493244308119,1.0269760295313748,20.0
135,ACT-CLJ0904.3+0206,0.0001715130229915809,1.0478074438391143,-0.026738635455483703,0.0,2971.950671170284,-0.028845622797932572,1.058641281128475,20.0
136,ACT-CLJ0904.5+0426,0.00019212196466577054,1.0992501665294048,-0.1512403767995929,0.0,2996.347202366766,-0.009753544556291733,1.0466761021395847,20.0
137,ACT-CLJ0905.6+0434,0.00022606335771283874,1.2420590294521636,-0.262164520103109,0.00381191987344426,3114.1662916932146,-0.027003684769104825,1.0019479285642816,20.0
138,ACT-CLJ0907.8+0057,0.00019514310076967553,1.0327642005712439,-0.05388569467932579,0.0019051973784484073,3102.222566215574,0.01693346871787164,1.0163434098246729,20.0
139,ACT-CLJ0907.9+0254,0.00020578618934572983,1.0057684659332542,-0.0539926581236511,0.0,3204.177799616176,-0.0090632544849992,0.9730203400745991,20.0
140,ACT-CLJ0909.5-0050,0.00021114640302892715,1.0065446085043341,-0.04057087184772481,0.0,2996.37208000112,0.001339896953790009,1.0435959913031931,20.0
141,ACT-CLJ0913.2+0349,0.0001628266657669067,1.0773628514780396,-0.08201727807924648,0.0,3756.872559381729,-0.029620122821730252,0.9137948008323736,20.0
142,ACT-CLJ0914.7+0011,0.00012452319199368197,1.063374295470695,0.0991788489167493,0.0,3658.432312919856,0.0038957406638120066,0.9328073441983215,20.0
143,ACT-CLJ0915.9-0132,0.0001302362275843826,1.0727874227063412,-0.10719622072889302,0.005715592135345221,3660.6219992907095,-0.001251536808674509,0.9279047567789221,20.0
144,ACT-CLJ0916.1-0024,0.00013451928807594465,1.0583093937922947,-0.026812112130181538,0.0,3641.4808808323323,0.030021946343790153,0.9202587631985936,20.0
