,cluster,ra_deg,dec_deg,FINT_first,Total_flux_vlass,int_flux_Jy,alpha,sed_offset
317,ACT-CLJ1035.1+0249,158.7595278538994,2.7761565390439107,nan,nan,0.0018871823229151,999,999
318,ACT-CLJ1035.4-0001,158.8586661759666,-0.0958009870993945,nan,nan,-0.0047414365536498,999,999
319,ACT-CLJ1035.4-0001,158.8281106032981,-0.084689872401065,nan,nan,-0.0038755192323352,999,999
320,ACT-CLJ1035.4-0001,158.9197772989642,-0.064134309789466,nan,nan,0.0113784138365564,999,999
321,ACT-CLJ1035.4-0001,158.90922171720618,-0.0002454585004978,nan,nan,-0.0016103071781443,999,999
322,ACT-CLJ1036.2-0223,159.00865863989955,-2.3633965274162327,nan,nan,-0.0010537221759225,999,999
323,ACT-CLJ1036.9+0154,159.2240178150522,1.9637156148163464,nan,nan,-0.0016649015815047,999,999
324,ACT-CLJ1049.3-0002,162.4115895650219,-0.0559274832023084,nan,nan,-0.0051279807628618,999,999
325,ACT-CLJ1050.6+0017,162.63927077520623,0.334328883517127,nan,nan,-0.0033719257064262,999,999
326,ACT-CLJ1050.6+0017,162.65482672582704,0.2371067254935542,nan,nan,0.0039210712148751,999,999
327,ACT-CLJ1053.7-0156,163.47541148373327,-1.880762829151804,nan,nan,0.0052685361890757,999,999
328,ACT-CLJ1053.7-0156,163.5043178449889,-1.935762033265252,nan,nan,0.0024907333187567,999,999
329,ACT-CLJ1053.7-0156,163.4142672210797,-1.8946517041717568,nan,nan,-0.0029324898921245,999,999
330,ACT-CLJ1053.7-0156,163.38369309256964,-1.9468730790210893,nan,nan,0.0021629936749385,999,999
331,ACT-CLJ1110.2-0030,167.52683890582264,-0.4633299875679887,nan,nan,0.0089457328254063,999,999
332,ACT-CLJ1110.3+0143,167.65650495596367,1.7465732752601455,nan,nan,0.0007958960376086,999,999
333,ACT-CLJ1110.8+0216,167.72619916517414,2.278732411462201,nan,nan,0.001199859685794,999,999
334,ACT-CLJ1111.1+0044,167.75693397363966,0.791010757532592,nan,nan,0.0002478161770058,999,999
335,ACT-CLJ1116.7+0218,169.14839252715342,2.2755889505527542,nan,nan,0.0035079943479985,999,999
336,ACT-CLJ1116.7+0218,169.22678720916588,2.2533672998029983,nan,nan,0.0041171988335976,999,999
337,ACT-CLJ1116.7+0218,169.16229064699715,2.34447822812738,nan,nan,-0.0002331068397699,999,999
338,ACT-CLJ1116.7+0218,169.24346729397843,2.2700335263776634,nan,nan,0.0037096522292569,999,999
339,ACT-CLJ1116.7+0218,169.21678063368336,2.340589665325393,nan,nan,0.0015116648212352,999,999
340,ACT-CLJ1116.9-0036,169.25057044708245,-0.616304484556503,nan,nan,0.0001215207207444,999,999
341,ACT-CLJ1116.9-0036,169.18223278596915,-0.6585264939588351,nan,nan,0.0025072175446208,999,999
342,ACT-CLJ1117.9-0211,169.498199463,-2.1872708830002807,2.4988308,3.30862576227,0.0002392586972702,-0.6270690611195283,6.28112740888638
343,ACT-CLJ1117.9-0211,169.51432176044992,-2.135048586935195,nan,nan,-0.0017439755042805,999,999
344,ACT-CLJ1117.9-0211,169.48096532126706,-2.1317152442185643,nan,nan,-0.0020101458163744,999,999
345,ACT-CLJ1118.7+0039,169.6945773858068,0.722458895416233,nan,nan,0.0082182820281836,999,999
346,ACT-CLJ1118.7+0039,169.6690197819792,0.7291254871362073,nan,nan,0.0194289618415263,999,999
347,ACT-CLJ1118.7+0039,169.70735614390097,0.7124588845708119,nan,nan,0.0058789744066408,999,999
348,ACT-CLJ1118.7+0039,169.63901805758178,0.6680141732483309,nan,nan,0.0008049559146051,999,999
349,ACT-CLJ1118.9-0041,169.71975878047144,-0.7540904647164623,nan,nan,0.0044637775231772,999,999
350,ACT-CLJ1118.9-0041,169.73087087561035,-0.6963127250202613,nan,nan,0.00408965675887,999,999
351,ACT-CLJ1118.9-0041,169.70975797519316,-0.7429793214073498,nan,nan,0.002484498726889,999,999
352,ACT-CLJ1118.9-0041,169.78309638330322,-0.6435347163658255,nan,nan,0.0091324484632894,999,999
353,ACT-CLJ1125.7+0010,171.4707952805075,0.1513462211542623,nan,nan,0.0033557095879623,999,999
354,ACT-CLJ1125.7+0010,171.44412857603248,0.2191240220082453,13.9784775,8.19991409871,-0.0010931373698387,-0.6998682168721734,7.546544556554349
355,ACT-CLJ1125.7+0010,171.47912878130404,0.2069017376109632,nan,nan,0.004426780161696,999,999
356,ACT-CLJ1125.7+0010,171.41968402426738,0.1157907207374119,nan,nan,-0.0004130151924428,999,999
357,ACT-CLJ1127.5+0003,171.89334452374726,0.064067269649463,nan,nan,0.0005902957976024,999,999
358,ACT-CLJ1127.5+0003,171.92723346994123,0.1196227881392351,nan,nan,0.0057193629185122,999,999
359,ACT-CLJ1127.5+0003,171.86056674451953,0.0374005992975913,nan,nan,0.0026859977386988,999,999
360,ACT-CLJ1127.5+0003,171.88278897098976,0.0107339523322012,nan,nan,0.0033777328348618,999,999
361,ACT-CLJ1127.5+0003,171.85667787181112,0.0157339453563417,nan,nan,-0.0015520244733435,999,999
362,ACT-CLJ1127.5+0003,171.83723339446033,0.0624005748022296,nan,nan,-0.001824318314666,999,999
363,ACT-CLJ1127.5+0003,171.84945561734963,0.0601783643757613,nan,nan,0.0005057390237513,999,999
364,ACT-CLJ1127.5+0003,171.94834459243808,0.1090672094739297,nan,nan,0.0033529282777996,999,999
365,ACT-CLJ1127.5+0003,171.9416778819092,0.0701783542066395,nan,nan,0.0029783841860183,999,999
366,ACT-CLJ1128.3-0058,172.0184742343205,-1.0013576997778786,nan,nan,0.0063789591874794,999,999
367,ACT-CLJ1128.3-0058,172.0968196507752,-1.0230247772998786,nan,nan,0.0013745979540158,999,999
368,ACT-CLJ1128.3-0058,172.13349102031046,-0.9591354711336564,nan,nan,0.0057704862798771,999,999
369,ACT-CLJ1128.3-0058,172.03347731024115,-0.9374690608845838,nan,nan,-0.0003213512916265,999,999
370,ACT-CLJ1128.3-0058,172.0879291119299,-0.9613581663226202,nan,nan,0.00166030385587,999,999
371,ACT-CLJ1128.3-0058,172.0268092509591,-0.972468954767989,nan,nan,-0.0003332970333731,999,999
372,ACT-CLJ1128.3-0058,172.0201413916027,-0.9869132907621412,nan,nan,0.0053963061524069,999,999
373,ACT-CLJ1129.8+0256,172.4795483933994,3.000752818030875,nan,nan,0.0027394559700455,999,999
374,ACT-CLJ1129.8+0256,172.42002301304817,2.983529964322273,nan,nan,0.0003088619450956,999,999
375,ACT-CLJ1131.6-0107,172.8924872932928,-1.08061164579255,nan,nan,-0.000916082478509,999,999
376,ACT-CLJ1131.6-0107,172.86970448423776,-1.148389161402137,nan,nan,0.0032935690074398,999,999
377,ACT-CLJ1134.0+0116,173.49391781356354,1.225641620108746,nan,nan,0.0013135988979232,999,999
378,ACT-CLJ1134.0+0116,173.46835629239538,1.2334190823851003,nan,nan,0.0075998721163574,999,999
379,ACT-CLJ1134.0+0116,173.52170224623995,1.3211972115449762,nan,nan,0.0023540141153076,999,999
380,ACT-CLJ1134.0+0116,173.5011417644048,1.2089750155418972,nan,nan,-0.0050402468737421,999,999
381,ACT-CLJ1134.0+0116,173.56560246430513,1.3056411328886697,nan,nan,0.0013582359822066,999,999
382,ACT-CLJ1136.9+0006,174.2150560222408,0.1643902443541784,nan,nan,0.0120540970361204,999,999
383,ACT-CLJ1136.9+0006,174.19505600303592,0.1243902493554527,nan,nan,0.0044374295238763,999,999
384,ACT-CLJ1136.9+0006,174.21005608663285,0.0477236204115218,nan,nan,0.0022542387491763,999,999
385,ACT-CLJ1136.9+0006,174.2272782922058,0.1332791626801412,nan,nan,0.0025283483977416,999,999
386,ACT-CLJ1136.9+0006,174.1850560336399,0.0916124674265677,nan,nan,0.0024547478072551,999,999
387,ACT-CLJ1138.5-0011,174.6928598644432,-0.1541751162759692,nan,nan,0.0100609564546823,999,999
388,ACT-CLJ1138.5-0011,174.69397109989504,-0.1913973118512791,nan,nan,0.0065178835864599,999,999
389,ACT-CLJ1138.5-0011,174.65230421398,-0.1886196157680814,nan,nan,0.0001533183542071,999,999
390,ACT-CLJ1138.5-0011,174.6573041939719,-0.1447307379423379,nan,nan,0.0042204367265166,999,999
391,ACT-CLJ1138.5-0011,174.70230438117702,-0.1675084108214304,nan,nan,0.0008960156614271,999,999
392,ACT-CLJ1139.3+0154,174.8713613251794,1.9553200900044947,nan,nan,0.0005310076292278,999,999
393,ACT-CLJ1139.3+0154,174.83411746360937,1.9758760847134544,nan,nan,0.0,999,999
394,ACT-CLJ1139.3+0154,174.83300568979544,1.971987202514924,nan,nan,0.0285467057573842,999,999
395,ACT-CLJ1139.3+0154,174.82800274527926,1.9653205398257512,nan,nan,0.0078777613007326,999,999
396,ACT-CLJ1139.3+0154,174.7868683539908,1.9314310793394376,nan,nan,0.0014135156165041,999,999
