col1,cluster,ra_1,dec_1,RA_2,DEC_2,SIDEPROB,FPEAK,FINT,RMS,MAJOR,MINOR,POSANG,FITTED_MAJOR,FITTED_MINOR,FITTED_POSANG,FLDNAME,NSDSS,SDSS_SEP,SDSS_MAG,SDSS_CLASS,NTMASS,TMASS_SEP,TMASS_MAG,YEAR,MJD,MJDRMS,MJDSTART,MJDSTOP,GroupID,GroupSize,Separation
12,ACT-CLJ0206.2-0114,31.5631523132,-1.24703037739,31.55463726728558,-1.2500555656453272,0.014053002,6.1,7.090599,0.13354528,2.88,1.89,177.5,7.02,5.72,179.3,02075-01050E,3,0.55976826,20.871845,g,0,99.0,99.0,1996.0652,2450107.3735045716,567.023265000846,2450038.751215278,2454927.412604167,10,11,32.52443035439482
13,ACT-CLJ0206.4-0118,31.6147842407,-1.31262862682,31.670665105811175,-1.2409111162854438,0.059738636,1.14,1.8188763,0.14848728,6.69,2.1,144.7,9.08,6.07,151.7,02075-01050E,1,0.18772024,19.218048,g,0,99.0,99.0,1995.8848,2450041.4524332723,3.418155651042446,2450039.750868056,2450052.717233797,10,11,327.2738918732732
13,ACT-CLJ0206.4-0118,31.6147842407,-1.31262862682,31.555122210716654,-1.2473916851473166,0.075942926,1.02,1.0332468,0.1357189,2.93,0.0,90.3,6.14,5.63,91.0,02075-01310E,1,1.2589571,21.95519,g,0,99.0,99.0,1995.8827,2450040.6946338736,0.2196696635549613,2450039.750868056,2450040.7476851856,10,11,318.2212611271233
13,ACT-CLJ0206.4-0118,31.6147842407,-1.31262862682,31.55463726728558,-1.2500555656453272,0.014053002,6.1,7.090599,0.13354528,2.88,1.89,177.5,7.02,5.72,179.3,02075-01050E,3,0.55976826,20.871845,g,0,99.0,99.0,1996.0652,2450107.3735045716,567.023265000846,2450038.751215278,2454927.412604167,10,11,312.4177202075939
13,ACT-CLJ0206.4-0118,31.6147842407,-1.31262862682,31.667284162172017,-1.2711944675179878,0.016282696,1.3,1.4485714,0.14638712,4.14,0.0,160.7,7.56,5.11,167.5,02075-01050E,1,6.926266,23.681559,s,0,99.0,99.0,1995.8861,2450041.9393557687,3.953060913392098,2450039.750868056,2450052.717233797,10,11,240.7328938840123
13,ACT-CLJ0206.4-0118,31.6147842407,-1.31262862682,31.631251499205614,-1.3501805893490135,0.014053002,7.19,7.2210803,0.14227521,1.67,0.0,179.6,6.61,5.24,179.9,02075-01310E,1,5.5239143,21.955553,g,0,99.0,99.0,1995.8882,2450042.682195153,4.486325068171718,2450039.750868056,2450052.717233797,10,11,147.60764248614453
13,ACT-CLJ0206.4-0118,31.6147842407,-1.31262862682,31.570449155214163,-1.3508138759511206,0.016282696,1.43,1.8662713,0.13489777,4.03,2.01,89.6,6.74,6.71,77.4,02075-01310E,0,99.0,99.0,-,0,99.0,99.0,1995.8865,2450042.059456582,4.273572575854252,2450040.7457638895,2450060.693055556,10,11,210.61234708374099
13,ACT-CLJ0206.4-0118,31.6147842407,-1.31262862682,31.560422437512585,-1.359999946776259,0.014053002,7.83,7.695712,0.1344176,0.62,0.0,107.9,6.28,5.41,176.4,02075-01310E,1,0.12844567,16.833563,g,1,0.08075252,14.794,1995.8867,2450042.1320116334,4.480814303453197,2450040.7457638895,2450060.693055556,10,11,259.5407807522323
13,ACT-CLJ0206.4-0118,31.6147842407,-1.31262862682,31.573017306342088,-1.363880561441884,0.014053002,5.93,7.130616,0.13580991,2.79,2.47,46.1,6.92,6.01,4.1,02075-01310E,1,4.8718214,22.287342,g,0,99.0,99.0,1995.8873,2450042.3817042056,4.75606761537467,2450040.7457638895,2450060.693055556,10,11,237.9892984522847
13,ACT-CLJ0206.4-0118,31.6147842407,-1.31262862682,31.633604499374684,-1.3720805237056017,0.014053002,2.48,2.5578475,0.1425145,1.89,0.0,104.7,6.28,5.66,168.6,02075-01310E,0,99.0,99.0,-,0,99.0,99.0,1995.8911,2450043.7625472248,5.718021546920343,2450039.750868056,2450060.693055556,10,11,224.48925029886212
