,cluster,Component_name,Component_id,ra_vlass,dec_vlass,pix_x,pix_y,amp_map,x_map,y_map,sigma_x_map,sigma_y_map,theta_map,offset_map,amp_snr,x_snr,y_snr,sigma_x_snr,sigma_y_snr,theta_snr,offset_snr
859,ACT-CLJ1245.0+0231,VLASS1QLCIR J124506.02+023640.9,-8.0,191.27512188802623,2.61136957307698,129.06455681726467,318.2327418096759,-7.2380654573284884e-06,129.06455681726467,318.2327418096759,3.0,3.0,0.0,8.409007915367322e-05,0.05552520719301648,129.06455681726467,318.23274148645476,3.0000019303368886,3.0000014617835173,0.0,-0.02829859009228273
860,ACT-CLJ1245.0+0231,VLASS1QLCIR J124507.16+022840.9,-7.0,191.27987191690488,2.47803697423015,120.5191170253803,78.23405292870234,0.001023975615768016,120.51911736388855,78.23405235909563,2.99999898863374,2.999997815971661,0.0,8.352982501482968e-05,1.5197459252186463,166.9329821999919,87.03666141730326,54.540626172093184,12.348890305131109,2.349566405747889,-0.08867473198831315
861,ACT-CLJ1249.7+0145,VLASS1QLCIR J124940.65+014054.5,36.0,192.4193787910106,1.68182739320066,180.2182492415552,35.23615455408702,0.0023994548548900083,180.21824916221266,35.2361550731545,3.0000013628115245,2.9999999333847764,0.0,0.00017105824860950733,2.63665862971003,246.8970160212792,81.21194008040183,-30.62752697017853,9.5173150141561,-0.6972800117676846,-0.009647968187267958
862,ACT-CLJ1249.7+0145,VLASS1QLCIR J124945.59+014353.6,35.0,192.43998942976032,1.73155816243057,143.13555448214217,124.75160412801735,0.0011749829556380708,143.13555454677422,124.75160436687938,2.99999899289968,2.9999989255476467,0.0,0.00017170895500953726,3.34803695291167,157.6490499159274,155.22096636219766,18.216448589202365,24.067485252514523,-30.24850690059675,-0.05154823444928123
863,ACT-CLJ1249.7+0145,VLASS1QLCIR J124949.37+014245.8,34.0,192.45574859048224,1.71274601851912,114.78153969237368,90.8900073212943,-0.004068426867529451,114.78153974380825,90.8900074258519,2.999998132382829,2.999998235060128,0.0,0.00017451425939322122,-2.331772353877645,102.38517325969167,82.18910203405974,25.135910291681558,20.508385812231257,-2.3350354208497364,0.10824955905572974
864,ACT-CLJ1249.7+0145,VLASS1QLCIR J124949.68+014646.5,33.0,192.4570190914779,1.7796021274071,112.49742571898746,211.2310613164483,-0.0020883639312049185,112.49742548210743,211.2310609376099,2.999997866645449,2.9999982662416054,0.0,0.00017345117790787382,-2.13813959511165,136.24631233641603,223.6658023135101,55.58596220938619,15.487265228737868,0.1416090944247497,0.14572586488471967
865,ACT-CLJ1249.7+0145,VLASS1QLCIR J124949.68+014237.0,-7.0,192.4570265165996,1.71027782067791,112.48223410590215,86.44728080012351,-0.004630201708810162,112.48223230736765,86.44728171279888,3.000001569191534,3.000000109681037,0.0,0.00017483143711344767,-2.331656449672624,102.39119861261692,82.17981321374083,25.132690706430147,20.513121681566865,0.8062822039339446,0.10825320696372717
866,ACT-CLJ1249.7+0145,VLASS1QLCIR J124952.07+014136.1,31.0,192.46695977027423,1.69338499613561,94.60972460293112,56.04046956224727,-0.004401607385537767,94.60972192425915,56.040469690509696,2.999992766923246,2.9999914837811867,0.0,0.00017468980759939424,-2.3316829103221886,102.39982924017947,82.1793810975541,25.12452025478083,20.517393248728848,3.947807652517535,0.10824949687831364
867,ACT-CLJ1249.7+0145,VLASS1QLCIR J124959.07+014150.3,29.0,192.49612561112488,1.69730876408781,42.13431862904248,63.10467184810669,1.1119586517631726e-06,42.13431862904248,63.10467184810669,3.0,3.0,0.0,0.0001723209034415301,1.152191389568344e-05,42.13431862904248,63.10467184810669,3.0,3.0,0.0,0.036313045740357486
868,ACT-CLJ1250.6+0036,VLASS1QLCIR J125045.62+003022.8,20.0,192.69010270568256,0.50634204160239,233.42016714851133,68.28958435922131,-4.2024111485031604e-06,233.42016714851133,68.28958435922131,3.0,3.0,0.0,3.5293800005485525e-05,-5.4497568892046835e-06,233.42016714851133,68.28958435922131,3.0,3.0,0.0,0.007878397599398748
